PID,B(Lat),L(Long),H,Bx,Ly,ReF,MCODE1,MCODE2,MCODE3
10169,0,0,-4.491,-189.837,-69.653,0,0,0,0
10170,0,0,-4.532,-191.63,-70.17,0,0,0,0
10171,0,0,-4.544,-193.286,-70.545,0,0,0,0
10172,0,0,-4.579,-195.172,-71.117,0,0,0,0
10173,0,0,-4.588,-196.691,-71.564,0,0,0,0
10174,0,0,-4.629,-198.452,-72.017,0,0,0,0
10175,0,0,-4.678,-200.024,-72.373,0,0,0,0
10176,0,0,-4.649,-201.023,-72.709,0,0,0,0
10177,0,0,-4.696,-202.578,-73.116,0,0,0,0
10178,0,0,-4.693,-204.505,-73.638,0,0,0,0
10179,0,0,-4.731,-205.973,-74.038,0,0,0,0
10180,0,0,-4.761,-206.971,-74.295,0,0,0,0
10181,0,0,-4.793,-208.647,-74.75,0,0,0,0
10182,0,0,-4.802,-209.619,-75.031,0,0,0,0
10183,0,0,-4.846,-210.59,-75.279,0,0,0,0
10184,0,0,-4.868,-212.328,-75.795,0,0,0,0
10185,0,0,-4.899,-214.108,-76.272,0,0,0,0
10186,0,0,-4.936,-215.773,-76.717,0,0,0,0
10187,0,0,-4.979,-217.606,-77.184,0,0,0,0
10188,0,0,-5.012,-218.63,-77.435,0,0,0,0
10189,0,0,-5.043,-220.403,-77.963,0,0,0,0
10190,0,0,-5.09,-222.078,-78.449,0,0,0,0
10191,0,0,-5.107,-223.923,-78.911,0,0,0,0
10192,0,0,-5.144,-225.67,-79.404,0,0,0,0
10193,0,0,-5.197,-227.581,-79.913,0,0,0,0
10194,0,0,-5.239,-229.266,-80.317,0,0,0,0
10195,0,0,-5.231,-231.095,-80.889,0,0,0,0
10196,0,0,-5.31,-232.759,-81.287,0,0,0,0
10197,0,0,-5.313,-234.521,-81.805,0,0,0,0
10198,0,0,-5.34,-236.314,-82.277,0,0,0,0
10199,0,0,-5.383,-237.377,-82.582,0,0,0,0
10200,0,0,-5.405,-239.165,-83.101,0,0,0,0
10201,0,0,-5.456,-241.001,-83.586,0,0,0,0
10202,0,0,-5.482,-242.009,-83.813,0,0,0,0
10203,0,0,-5.527,-243.659,-84.29,0,0,0,0
10204,0,0,-5.539,-244.825,-84.62,0,0,0,0
10205,0,0,-5.579,-246.844,-85.104,0,0,0,0
10206,0,0,-5.568,-248.143,-85.563,0,0,0,0
10207,0,0,-5.591,-250.4,-86.129,0,0,0,0
10208,0,0,-5.625,-251.366,-86.39,0,0,0,0
10209,0,0,-5.638,-252.638,-86.707,0,0,0,0
10210,0,0,-5.67,-254.62,-87.29,0,0,0,0
10211,0,0,-5.686,-255.873,-87.599,0,0,0,0
10212,0,0,-5.703,-256.961,-87.908,0,0,0,0
10213,0,0,-5.722,-258.145,-88.213,0,0,0,0
10214,0,0,-5.753,-259.393,-88.554,0,0,0,0
10215,0,0,-5.771,-260.529,-88.89,0,0,0,0
10216,0,0,-5.83,-262.692,-89.479,0,0,0,0
10217,0,0,-5.833,-263.81,-89.788,0,0,0,0
10218,0,0,-5.839,-264.997,-90.073,0,0,0,0
10219,0,0,-5.856,-266.067,-90.347,0,0,0,0
