PID,B(Lat),L(Long),H,Bx,Ly,ReF,MCODE1,MCODE2,MCODE3
2158,0,0,0.447,39.591,-56.168,0,0,0,0
2159,0,0,0.433,38.569,-56.311,0,0,0,0
2160,0,0,0.435,37.565,-56.431,0,0,0,0
2161,0,0,0.47,36.493,-56.49,0,0,0,0
2162,0,0,0.491,35.492,-56.56,0,0,0,0
2163,0,0,0.507,34.428,-56.663,0,0,0,0
2164,0,0,0.492,33.256,-56.653,0,0,0,0
2165,0,0,0.476,32.256,-56.664,0,0,0,0
2166,0,0,0.477,31.166,-56.703,0,0,0,0
2167,0,0,0.488,30.101,-56.735,0,0,0,0
2168,0,0,0.459,28.978,-56.745,0,0,0,0
2169,0,0,0.458,27.912,-56.801,0,0,0,0
2170,0,0,0.44,26.811,-56.804,0,0,0,0
2171,0,0,0.452,25.802,-56.86,0,0,0,0
2172,0,0,0.45,24.605,-56.834,0,0,0,0
2173,0,0,0.441,23.561,-56.859,0,0,0,0
2174,0,0,0.418,22.557,-56.833,0,0,0,0
2175,0,0,0.42,21.287,-56.876,0,0,0,0
2176,0,0,0.432,20.168,-56.916,0,0,0,0
2177,0,0,0.429,18.993,-56.926,0,0,0,0
2178,0,0,0.431,17.77,-56.959,0,0,0,0
2179,0,0,0.422,16.597,-56.965,0,0,0,0
2180,0,0,0.419,15.33,-56.994,0,0,0,0
2181,0,0,0.444,14.057,-57.084,0,0,0,0
2182,0,0,0.425,13.061,-57.058,0,0,0,0
2183,0,0,0.416,12.036,-57.066,0,0,0,0
2184,0,0,0.418,10.737,-57.104,0,0,0,0
2185,0,0,0.436,9.748,-57.17,0,0,0,0
2186,0,0,0.418,8.686,-57.161,0,0,0,0
2187,0,0,0.428,7.43,-57.213,0,0,0,0
2188,0,0,0.429,6.161,-57.243,0,0,0,0
2189,0,0,0.429,4.852,-57.273,0,0,0,0
2190,0,0,0.439,3.618,-57.329,0,0,0,0
2191,0,0,0.413,2.34,-57.311,0,0,0,0
2192,0,0,0.411,1.07,-57.322,0,0,0,0
2193,0,0,0.446,-0.092,-57.441,0,0,0,0
2194,0,0,0.418,-1.318,-57.402,0,0,0,0
2195,0,0,0.421,-2.611,-57.437,0,0,0,0
2196,0,0,0.425,-3.862,-57.466,0,0,0,0
2197,0,0,0.403,-5.036,-57.444,0,0,0,0
2198,0,0,0.402,-6.219,-57.481,0,0,0,0
2199,0,0,0.388,-7.439,-57.472,0,0,0,0
2200,0,0,0.394,-8.689,-57.484,0,0,0,0
2201,0,0,0.38,-9.988,-57.487,0,0,0,0
2202,0,0,0.389,-11.04,-57.515,0,0,0,0
2203,0,0,0.409,-12.194,-57.558,0,0,0,0
2204,0,0,0.42,-13.214,-57.605,0,0,0,0
2205,0,0,0.421,-14.266,-57.621,0,0,0,0
2206,0,0,0.4,-15.337,-57.567,0,0,0,0
2207,0,0,0.393,-16.334,-57.556,0,0,0,0
2208,0,0,0.391,-17.328,-57.559,0,0,0,0
2209,0,0,0.413,-18.383,-57.614,0,0,0,0
2210,0,0,0.418,-19.392,-57.632,0,0,0,0
2211,0,0,0.396,-20.722,-57.575,0,0,0,0
2212,0,0,0.397,-21.768,-57.566,0,0,0,0
2213,0,0,0.41,-23.074,-57.593,0,0,0,0
2214,0,0,0.414,-24.368,-57.581,0,0,0,0
2215,0,0,0.41,-25.393,-57.53,0,0,0,0
2216,0,0,0.416,-26.402,-57.507,0,0,0,0
2217,0,0,0.381,-27.713,-57.374,0,0,0,0
2218,0,0,0.361,-28.964,-57.298,0,0,0,0
2219,0,0,0.395,-29.986,-57.318,0,0,0,0
