DID,Dist,PID,Dir,Apara,r,slope,cant,LW,RW
9072,71,9072,2.50552926231405,0,79.42975052950031,0,0,2,2
9073,72,9073,2.4914436370390587,0,-70.99436343628032,0,0,2,2
9074,73,9074,2.4503980295889294,0,-24.363142906704617,0,0,2,2
9075,74,9075,2.4895911164209528,0,25.514703761045247,0,0,2,2
9076,75,9076,2.625844996852986,0,7.339240517988961,0,0,2,2
9077,76,9077,2.383510098662205,0,-4.126520808458791,0,0,2,2
9078,77,9078,2.632911135246552,0,4.009606430251546,0,0,2,2
9079,78,9079,2.40775266187691,0,-4.441316309505716,0,0,2,2
9080,79,9080,2.421085205171049,0,75.0044442338013,0,0,2,2
9081,80,9081,2.5911702600130204,0,5.8794113388099625,0,0,2,2
9082,81,9082,2.4776340410094386,0,-8.807762040837844,0,0,2,2
9083,82,9083,2.5163028876136653,0,25.86061100386419,0,0,2,2
9084,83,9084,2.556086300378948,0,25.136103981321998,0,0,2,2
9085,84,9085,2.4453691248363474,0,-9.03202231360418,0,0,2,2
9086,85,9086,2.5441257570924507,0,10.125902201755148,0,0,2,2
9087,86,9087,2.377179899167631,0,-5.989965923265537,0,0,2,2
9088,87,9088,2.5331648752348332,0,6.41087382395837,0,0,2,2
9089,88,9089,2.520432006033033,0,-78.53689409285923,0,0,2,2
9090,89,9090,2.4641772057466778,0,-17.776260779696507,0,0,2,2
9091,90,9091,2.5284023351731966,0,15.570229424669654,0,0,2,2
9092,91,9092,2.5391679730203416,0,92.88813298370371,0,0,2,2
9093,92,9093,2.542090556865441,0,342.1629807736248,0,0,2,2
9094,93,9094,2.3825203111879176,0,-6.266832489691769,0,0,2,2
9095,94,9095,2.4094700324102094,0,37.10613522684005,0,0,2,2
9096,95,9096,2.3772941493953943,0,-31.079178139091272,0,0,2,2
9097,96,9097,2.5427327132940114,0,6.044539897075103,0,0,2,2
9098,97,9098,2.6294180505692615,0,11.53597634193568,0,0,2,2
9099,98,9099,2.394295483411244,0,-4.253100891536012,0,0,2,2
9100,99,9100,2.472110866389969,0,12.850929491324415,0,0,2,2
9101,100,9101,2.458020927506727,0,-70.97262864563274,0,0,2,2
9102,101,9102,2.5201576954949294,0,16.093530970099096,0,0,2,2
9103,102,9103,2.5206045372781376,0,2237.9285858638514,0,0,2,2
9104,103,9104,2.4795952864605293,0,-24.384741980475923,0,0,2,2
9105,104,9105,2.477546490668214,0,-488.09159202238465,0,0,2,2
9106,105,9106,2.532018918499525,0,18.357911328952905,0,0,2,2
9107,106,9107,2.5024103949409637,0,-33.77405827150217,0,0,2,2
