LnID,DID,BLID,FLID,BNID,FNID,JCT,BLID2,BLID3,BLID4,FLID2,FLID3,FLID4,CrossID,Span,LCnt,Lno,LaneType,LimitVel,RefVel,RoadSecID,LaneChgFG
9040,9040,9039,9041,9040,9041,0,0,0,0,0,0,0,0,1.0,1,1,0,20,20,0,0,0
9041,9041,9040,9042,9041,9042,0,0,0,0,0,0,0,0,1.0,1,1,0,20,20,0,0,0
9042,9042,9041,9043,9042,9043,0,0,0,0,0,0,0,0,1.0,1,1,0,20,20,0,0,0
9043,9043,9042,9044,9043,9044,0,0,0,0,0,0,0,0,1.0,1,1,0,20,20,0,0,0
9044,9044,9043,9045,9044,9045,0,0,0,0,0,0,0,0,1.0,1,1,0,20,20,0,0,0
9045,9045,9044,9046,9045,9046,0,0,0,0,0,0,0,0,1.0,1,1,0,20,20,0,0,0
9046,9046,9045,9047,9046,9047,0,0,0,0,0,0,0,0,1.0,1,1,0,20,20,0,0,0
9047,9047,9046,9048,9047,9048,0,0,0,0,0,0,0,0,1.0,1,1,0,20,20,0,0,0
9048,9048,9047,9049,9048,9049,0,0,0,0,0,0,0,0,1.0,1,1,0,20,20,0,0,0
9049,9049,9048,9050,9049,9050,0,0,0,0,0,0,0,0,1.0,1,1,0,20,20,0,0,0
9050,9050,9049,9051,9050,9051,0,0,0,0,0,0,0,0,1.0,1,1,0,20,20,0,0,0
9051,9051,9050,9052,9051,9052,0,0,0,0,0,0,0,0,1.0,1,1,0,20,20,0,0,0
9052,9052,9051,9053,9052,9053,0,0,0,0,0,0,0,0,1.0,1,1,0,20,20,0,0,0
9053,9053,9052,9054,9053,9054,0,0,0,0,0,0,0,0,1.0,1,1,0,20,20,0,0,0
9054,9054,9053,9055,9054,9055,0,0,0,0,0,0,0,0,1.0,1,1,0,20,20,0,0,0
9055,9055,9054,9056,9055,9056,0,0,0,0,0,0,0,0,1.0,1,1,0,20,20,0,0,0
