PID,B(Lat),L(Long),H,Bx,Ly,ReF,MCODE1,MCODE2,MCODE3
10249,0,0,1.757,7.35,3.743,0,0,0,0
10250,0,0,1.723,7.323,3.791,0,0,0,0
10251,0,0,1.773,7.317,3.719,0,0,0,0
10252,0,0,1.748,7.329,3.662,0,0,0,0
10253,0,0,1.748,7.304,3.598,0,0,0,0
10254,0,0,1.768,7.29,3.552,0,0,0,0
10255,0,0,1.739,7.277,3.512,0,0,0,0
10256,0,0,1.765,7.258,3.467,0,0,0,0
10257,0,0,1.761,7.256,3.397,0,0,0,0
10258,0,0,1.744,7.232,3.341,0,0,0,0
10259,0,0,1.784,7.201,3.349,0,0,0,0
10260,0,0,1.762,7.165,3.398,0,0,0,0
10261,0,0,1.774,7.179,3.313,0,0,0,0
10262,0,0,1.74,7.163,3.265,0,0,0,0
10263,0,0,1.774,7.128,3.241,0,0,0,0
10264,0,0,1.734,7.11,3.202,0,0,0,0
10265,0,0,1.776,7.088,3.185,0,0,0,0
10266,0,0,1.726,7.07,3.112,0,0,0,0
10267,0,0,1.723,7.05,3.061,0,0,0,0
10268,0,0,1.745,7.059,3.009,0,0,0,0
10269,0,0,1.737,7.008,2.971,0,0,0,0
10270,0,0,1.701,6.988,2.932,0,0,0,0
10271,0,0,1.751,6.972,2.946,0,0,0,0
10272,0,0,1.768,6.966,2.899,0,0,0,0
10273,0,0,1.741,6.942,2.835,0,0,0,0
10274,0,0,1.732,6.933,2.774,0,0,0,0
10275,0,0,1.728,6.901,2.83,0,0,0,0
10276,0,0,1.718,6.861,2.758,0,0,0,0
10277,0,0,1.685,6.851,2.707,0,0,0,0
10278,0,0,1.748,6.85,2.668,0,0,0,0
10279,0,0,1.732,6.834,2.731,0,0,0,0
10280,0,0,1.779,6.828,2.752,0,0,0,0
10281,0,0,1.755,6.808,2.656,0,0,0,0
10282,0,0,1.727,6.792,2.602,0,0,0,0
10283,0,0,1.726,6.764,2.542,0,0,0,0
10284,0,0,1.689,6.756,2.497,0,0,0,0
10285,0,0,1.76,6.748,2.434,0,0,0,0
10286,0,0,1.782,6.703,2.449,0,0,0,0
10287,0,0,1.775,6.686,2.385,0,0,0,0
10288,0,0,1.77,6.668,2.29,0,0,0,0
10289,0,0,1.727,6.628,2.234,0,0,0,0
10290,0,0,1.685,6.611,2.176,0,0,0,0
10291,0,0,1.73,6.603,2.126,0,0,0,0
10292,0,0,1.757,6.602,2.078,0,0,0,0
10293,0,0,1.722,6.564,2.096,0,0,0,0
10294,0,0,1.771,6.563,2.08,0,0,0,0
10295,0,0,1.773,6.536,2.034,0,0,0,0
10296,0,0,1.719,6.522,2.004,0,0,0,0
10297,0,0,1.772,6.516,1.967,0,0,0,0
10298,0,0,1.762,6.478,1.882,0,0,0,0
10299,0,0,1.705,6.481,1.917,0,0,0,0
10300,0,0,1.761,6.49,1.92,0,0,0,0
10301,0,0,1.745,6.46,1.859,0,0,0,0
10302,0,0,1.791,6.45,1.819,0,0,0,0
10303,0,0,1.797,6.429,1.76,0,0,0,0
10304,0,0,1.799,6.404,1.699,0,0,0,0
10305,0,0,1.752,6.369,1.688,0,0,0,0
10306,0,0,1.741,6.398,1.781,0,0,0,0
10307,0,0,1.749,6.415,1.851,0,0,0,0
10308,0,0,1.781,6.422,1.902,0,0,0,0
10309,0,0,1.802,6.435,1.956,0,0,0,0
10310,0,0,1.826,6.441,2.064,0,0,0,0
10311,0,0,1.833,6.423,1.968,0,0,0,0
10312,0,0,1.806,6.41,1.923,0,0,0,0
10313,0,0,1.809,6.413,1.868,0,0,0,0
10314,0,0,1.807,6.399,1.93,0,0,0,0
10315,0,0,1.809,6.396,1.984,0,0,0,0
10316,0,0,1.797,6.383,1.923,0,0,0,0
10317,0,0,1.839,6.379,1.858,0,0,0,0
10318,0,0,1.793,6.367,1.819,0,0,0,0
10319,0,0,1.786,6.342,1.74,0,0,0,0
10320,0,0,1.832,6.351,1.715,0,0,0,0
10321,0,0,1.76,6.319,1.705,0,0,0,0
10322,0,0,1.811,6.329,1.73,0,0,0,0
10323,0,0,1.811,6.335,1.79,0,0,0,0
10324,0,0,1.81,6.309,1.663,0,0,0,0
10325,0,0,1.773,6.269,1.584,0,0,0,0
10326,0,0,1.729,6.247,1.563,0,0,0,0
10327,0,0,1.771,6.278,1.6,0,0,0,0
10328,0,0,1.785,6.298,1.651,0,0,0,0
10329,0,0,1.755,6.275,1.593,0,0,0,0
10330,0,0,1.707,6.251,1.563,0,0,0,0
10331,0,0,1.732,6.248,1.503,0,0,0,0
10332,0,0,1.775,6.243,1.471,0,0,0,0
10333,0,0,1.724,6.227,1.465,0,0,0,0
10334,0,0,1.789,6.265,1.502,0,0,0,0
10335,0,0,1.73,6.247,1.514,0,0,0,0
10336,0,0,1.77,6.237,1.458,0,0,0,0
10337,0,0,1.774,6.207,1.41,0,0,0,0
10338,0,0,1.743,6.177,1.352,0,0,0,0
10339,0,0,1.766,6.143,1.284,0,0,0,0
10340,0,0,1.778,6.183,1.344,0,0,0,0
10341,0,0,1.75,6.128,1.272,0,0,0,0
10342,0,0,1.701,6.109,1.251,0,0,0,0
10343,0,0,1.758,6.131,1.252,0,0,0,0
10344,0,0,1.747,6.118,1.198,0,0,0,0
10345,0,0,1.721,6.065,1.149,0,0,0,0
10346,0,0,1.719,5.992,1.062,0,0,0,0
10347,0,0,1.668,5.913,0.996,0,0,0,0
10348,0,0,1.661,5.867,0.971,0,0,0,0
10349,0,0,1.699,5.96,1.019,0,0,0,0
10350,0,0,1.711,6.041,1.063,0,0,0,0
10351,0,0,1.758,6.031,1.032,0,0,0,0
10352,0,0,1.746,5.997,0.989,0,0,0,0
10353,0,0,1.739,5.963,0.95,0,0,0,0
10354,0,0,1.756,6.036,0.985,0,0,0,0
10355,0,0,1.735,6.009,0.944,0,0,0,0
10356,0,0,1.776,5.962,0.891,0,0,0,0
10357,0,0,1.728,5.945,0.872,0,0,0,0
10358,0,0,1.679,5.982,0.903,0,0,0,0
10359,0,0,1.671,6.028,0.936,0,0,0,0
10360,0,0,1.711,6.012,0.989,0,0,0,0
10361,0,0,1.704,5.97,0.949,0,0,0,0
10362,0,0,1.716,5.898,0.865,0,0,0,0
10363,0,0,1.698,5.856,0.823,0,0,0,0
10364,0,0,1.704,5.887,0.898,0,0,0,0
10365,0,0,1.736,5.895,0.851,0,0,0,0
10366,0,0,1.683,5.869,0.847,0,0,0,0
10367,0,0,1.715,5.855,0.806,0,0,0,0
10368,0,0,1.693,5.826,0.761,0,0,0,0
10369,0,0,1.691,5.765,0.7,0,0,0,0
10370,0,0,1.707,5.723,0.63,0,0,0,0
10371,0,0,1.711,5.676,0.578,0,0,0,0
10372,0,0,1.682,5.59,0.519,0,0,0,0
10373,0,0,1.721,5.617,0.545,0,0,0,0
10374,0,0,1.7,5.581,0.512,0,0,0,0
10375,0,0,1.7,5.56,0.464,0,0,0,0
10376,0,0,1.711,5.503,0.402,0,0,0,0
10377,0,0,1.697,5.401,0.318,0,0,0,0
10378,0,0,1.708,5.313,0.256,0,0,0,0
10379,0,0,1.674,5.378,0.306,0,0,0,0
10380,0,0,1.688,5.428,0.361,0,0,0,0
10381,0,0,1.678,5.391,0.326,0,0,0,0
10382,0,0,1.711,5.336,0.287,0,0,0,0
10383,0,0,1.662,5.356,0.309,0,0,0,0
10384,0,0,1.687,5.4,0.345,0,0,0,0
10385,0,0,1.679,5.347,0.312,0,0,0,0
10386,0,0,1.682,5.388,0.352,0,0,0,0
10387,0,0,1.661,5.34,0.324,0,0,0,0
10388,0,0,1.664,5.249,0.28,0,0,0,0
10389,0,0,1.665,5.178,0.221,0,0,0,0
10390,0,0,1.672,5.221,0.251,0,0,0,0
10391,0,0,1.684,5.274,0.289,0,0,0,0
10392,0,0,1.67,5.219,0.263,0,0,0,0
10393,0,0,1.67,5.158,0.243,0,0,0,0
10394,0,0,1.686,5.11,0.231,0,0,0,0
10395,0,0,1.678,5.184,0.27,0,0,0,0
10396,0,0,1.658,5.231,0.305,0,0,0,0
10397,0,0,1.668,5.126,0.266,0,0,0,0
10398,0,0,1.672,5.072,0.252,0,0,0,0
10399,0,0,1.658,5.131,0.291,0,0,0,0
10400,0,0,1.646,5.0,0.25,0,0,0,0
10401,0,0,1.658,4.917,0.19,0,0,0,0
10402,0,0,1.661,4.968,0.247,0,0,0,0
10403,0,0,1.636,5.008,0.299,0,0,0,0
10404,0,0,1.637,5.064,0.341,0,0,0,0
10405,0,0,1.628,4.922,0.294,0,0,0,0
10406,0,0,1.637,4.867,0.292,0,0,0,0
10407,0,0,1.628,4.771,0.234,0,0,0,0
10408,0,0,1.648,4.679,0.212,0,0,0,0
10409,0,0,1.637,4.609,0.198,0,0,0,0
10410,0,0,1.635,4.644,0.235,0,0,0,0
10411,0,0,1.633,4.718,0.283,0,0,0,0
10412,0,0,1.626,4.773,0.332,0,0,0,0
10413,0,0,1.617,4.815,0.369,0,0,0,0
10414,0,0,1.638,4.709,0.344,0,0,0,0
10415,0,0,1.634,4.649,0.323,0,0,0,0
10416,0,0,1.618,4.593,0.358,0,0,0,0
10417,0,0,1.641,4.537,0.331,0,0,0,0
10418,0,0,1.63,4.495,0.363,0,0,0,0
10419,0,0,1.629,4.449,0.341,0,0,0,0
10420,0,0,1.625,4.425,0.392,0,0,0,0
10421,0,0,1.621,4.391,0.431,0,0,0,0
10422,0,0,1.603,4.393,0.488,0,0,0,0
10423,0,0,1.603,4.4,0.561,0,0,0,0
10424,0,0,1.6,4.345,0.575,0,0,0,0
10425,0,0,1.603,4.283,0.591,0,0,0,0
10426,0,0,1.602,4.318,0.658,0,0,0,0
10427,0,0,1.606,4.283,0.693,0,0,0,0
10428,0,0,1.623,4.224,0.682,0,0,0,0
10429,0,0,1.625,4.173,0.721,0,0,0,0
10430,0,0,1.606,4.134,0.781,0,0,0,0
10431,0,0,1.624,4.094,0.808,0,0,0,0
10432,0,0,1.616,4.031,0.763,0,0,0,0
10433,0,0,1.63,3.973,0.772,0,0,0,0
10434,0,0,1.628,3.904,0.764,0,0,0,0
10435,0,0,1.654,3.897,0.816,0,0,0,0
10436,0,0,1.64,3.832,0.812,0,0,0,0
10437,0,0,1.648,3.772,0.798,0,0,0,0
10438,0,0,1.64,3.71,0.817,0,0,0,0
10439,0,0,1.653,3.659,0.803,0,0,0,0
10440,0,0,1.627,3.668,0.863,0,0,0,0
10441,0,0,1.629,3.615,0.838,0,0,0,0
10442,0,0,1.594,3.556,0.855,0,0,0,0
