DID,Dist,PID,Dir,Apara,r,slope,cant,LW,RW
10063,62,10063,0.4555679100440718,0,-10.837826329881677,0,0,2,2
10064,63,10064,0.8381750436173951,0,2.6136470343890195,0,0,2,2
10065,64,10065,6.0029252322786775,0,0.19362020687765402,0,0,2,2
10066,65,10066,0.5056874174303462,0,-0.18190953960531722,0,0,2,2
10067,66,10067,0.6851056742829706,0,5.573568808114147,0,0,2,2
10068,67,10068,0.1008785208387435,0,-1.711662996327103,0,0,2,2
10069,68,10069,0.3404254424670603,0,4.174547488243698,0,0,2,2
10070,69,10070,0.6648772808417487,0,3.0821215407790814,0,0,2,2
10071,70,10071,0.7767948538151098,0,8.935147300219084,0,0,2,2
10072,71,10072,0.6027173076357797,0,-5.7445662691604475,0,0,2,2
10073,72,10073,0.1817146228638541,0,-2.375281764632311,0,0,2,2
10074,73,10074,0.7946516288523005,0,1.631489027795541,0,0,2,2
10075,74,10075,0.6737844623621957,0,-8.27354548831811,0,0,2,2
10076,75,10076,0.4146725033789313,0,-3.8593355703222803,0,0,2,2
10077,76,10077,0.24679910690663373,0,-5.95687000450378,0,0,2,2
10078,77,10078,0.5131868595981366,0,3.753926334436537,0,0,2,2
10079,78,10079,0.2982864006119868,0,-4.653317190283198,0,0,2,2
10080,79,10080,0.03681515817240199,0,-3.8245123657568523,0,0,2,2
10081,80,10081,0.642997155424473,0,1.6496695786631324,0,0,2,2
10082,81,10082,0.43307377802287594,0,-4.763642869974101,0,0,2,2
10083,82,10083,0.620815828879958,0,5.326457207827383,0,0,2,2
10084,83,10084,0.42368184340909654,0,-5.072692045521551,0,0,2,2
10085,84,10085,0.43934707401011647,0,63.83563864900221,0,0,2,2
10086,85,10086,0.7401840039426573,0,3.3240599823440506,0,0,2,2
10087,86,10087,0.19343953386436397,0,-1.8290079822056562,0,0,2,2
10088,87,10088,0.6316537933373966,0,2.2819887267076466,0,0,2,2
10089,88,10089,0.10773557933485105,0,-1.908694855940132,0,0,2,2
10090,89,10090,0.14040558548733892,0,30.609115753834914,0,0,2,2
10091,90,10091,0.8116776750372019,0,1.4897088908769813,0,0,2,2
10092,91,10092,0.7042816301743756,0,-9.311329865799712,0,0,2,2
10093,92,10093,0.0350827918082265,0,-1.494324171932968,0,0,2,2
10094,93,10094,0.33197883928383626,0,3.3681822594224693,0,0,2,2
10095,94,10095,0.25493608722088446,0,-12.979806318223131,0,0,2,2
